__time,/cable_length/data,/hoist_motor_voltage/data,/sway_angle/data,/trolley_motor_voltage/data,/trolley_position/data
1717493137.564877,,,,,0.215555549
1717493137.568612,0.373743504,,,,
1717493137.568637,,,0.890398860,,
1717493137.574833,,,,9.206999779,
1717493137.584966,,705.000000000,,,
1717493137.594931,,,,,0.222388893
1717493137.601896,0.373767853,,,,
1717493137.601918,,,0.781944513,,
1717493137.604852,,,,9.227000237,
1717493137.618915,,663.000000000,,,
1717493137.628876,,,,,0.229944438
1717493137.636375,0.373803347,,,,
1717493137.636397,,,0.674022079,,
1717493137.638850,,,,9.194000244,
1717493137.653966,,601.000000000,,,
1717493137.663915,,,,,0.237499997
1717493137.668393,0.373834699,,,,
1717493137.668420,,,0.575058699,,
1717493137.673929,,,,9.145000458,
1717493137.683953,,601.000000000,,,
1717493137.693954,,,,,0.243333340
1717493137.702034,0.373850286,,,,
1717493137.702063,,,0.468021035,,
1717493137.703902,,,,9.095000267,
1717493137.718960,,676.000000000,,,
1717493137.728913,,,,,0.250111103
1717493137.738945,,,,8.998999596,
1717493137.740458,0.373881102,,,,
1717493137.740479,,,0.352934062,,
1717493137.753003,,624.000000000,,,
1717493137.763017,,,,,0.256333321
1717493137.769191,0.373914301,,,,
1717493137.769235,,,0.229857251,,
1717493137.772933,,,,8.887000084,
1717493137.786049,,741.000000000,,,
1717493137.795985,,,,,0.262444437
1717493137.802757,0.373941720,,,,
1717493137.802803,,,0.090216741,,
1717493137.805904,,,,8.946000099,
1717493137.819999,,798.000000000,,,
1717493137.829959,,,,,0.269111097
1717493137.833220,0.373966306,,,,
1717493137.833259,,,-0.057368502,,
1717493137.845992,,,,9.090000153,
1717493137.855975,,691.000000000,,,
1717493137.865960,,,,,0.277055562
1717493137.868603,0.373984069,,,,
1717493137.868658,,,-0.187174931,,
1717493137.881953,,,,9.097000122,
1717493137.892030,,668.000000000,,,
1717493137.902046,,,,,0.285055548
1717493137.902303,0.374020875,,,,
1717493137.902350,,,-0.307716101,,
1717493137.918061,,,,9.281000137,
1717493137.926966,,740.000000000,,,
1717493137.935561,0.374017060,,,,
1717493137.935588,,,-0.419216901,,
1717493137.936942,,,,,0.293111116
1717493137.952236,,,,9.416000366,
1717493137.961999,,695.000000000,,,
1717493137.969979,0.374002159,,,,
1717493137.970018,,,-0.487545222,,
1717493137.971997,,,,,0.301944435
1717493137.987070,,,,9.338999748,
1717493137.997019,,713.000000000,,,
1717493138.002276,0.374006152,,,,
1717493138.002333,,,-0.512733459,,
1717493138.006953,,,,,0.310333341
